"citing","cited"
"Spectre Attacks: Exploiting Speculative Execution.","Anonymous Web Browsing and Publishing."
"Spectre Attacks: Exploiting Speculative Execution.","Privacy Protection in Biometric Systems."
"Spectre Attacks: Exploiting Speculative Execution.","Protocol Cookies."
"Spectre Attacks: Exploiting Speculative Execution.","Challenge-Response Authentication."
"Spectre Attacks: Exploiting Speculative Execution.","Secure Computation."
"Spectre Attacks: Exploiting Speculative Execution.","Representation and Reasoning with Attributive Descriptions"
"Spectre Attacks: Exploiting Speculative Execution.","Levels of Trust."
"Spectre Attacks: Exploiting Speculative Execution.","Sender Anonymity."
"Spectre Attacks: Exploiting Speculative Execution.","Proof-Carrying Code."
"Spectre Attacks: Exploiting Speculative Execution.","Multiprecision Squaring."
"Spectre Attacks: Exploiting Speculative Execution.","Statistische Untersuchungen an einsprachigen Zeitungstexten"
"Spectre Attacks: Exploiting Speculative Execution.","Related Key Attack."
"Spectre Attacks: Exploiting Speculative Execution.","Substitutions and Permutations."
"Meltdown","Triple-DES."
"Meltdown","AAL in Cardiac Rehabilitation."
"Meltdown","Web 2.0 Security and Privacy."
"Meltdown","IP Traceback."
"Meltdown","Inheritance for ADTs (revised)"
"Meltdown","Stability Analysis of Wireless Networks"
"Meltdown","Cube Attack."
"Computer Science Curricula 2013","Acquirer."
"Computer Science Curricula 2013","Web Session Security."
"Computer Science Curricula 2013","Digital Signature Schemes."
"Computer Science Curricula 2013","Point Counting."
"Computer Science Curricula 2013","Radio Frequency Attacks."
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Elliptic Curves."
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Broadcast Encryption."
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Die Sloppy/Referenzielle Ambiguität: Bildungssyntax oder Diskursrepräsentationstheorie?"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","On the GI/G/k Queue with Lebesgue-Dominated Inter-Arrival Time Distribution"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Weiterentwicklung des Earley-Algorithmus für kontextfreie und ID/LP-Grammatiken"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Secure Email."
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Using a Structured English Query Language as a Data Definition Facility."
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","On the GI/G/k Queue with Lebesgue-Dominated Inter-Arrival Time Distribution"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Two Program Comprehension Tools for Automatic Parallelization: A Comparative Study"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Content-Based and View-Based Access Control."
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Smoothness."
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Processing Spatial Knowledge in LILOG"
"DARWIN: On the Incremental Migration of Legacy Information Systems","Scheduling with Constrained Processor Allocation for Interval Orders"
"DARWIN: On the Incremental Migration of Legacy Information Systems","Ubiquitous Services and Business Processes."
"DARWIN: On the Incremental Migration of Legacy Information Systems","Certificateless Cryptography."
"DARWIN: On the Incremental Migration of Legacy Information Systems","Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht"
"DARWIN: On the Incremental Migration of Legacy Information Systems","Quasi-Identifier."
"DARWIN: On the Incremental Migration of Legacy Information Systems","Hash Agility."
"DARWIN: On the Incremental Migration of Legacy Information Systems","Using Knowledge-Based Methods to Administrate an Access Control System"
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Privileges in SQL."
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Fault Attack."
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Fixed-Exponent Exponentiation."
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Cut-and-choose protocol."
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Diffie-Hellman Problem."
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Elliptic Curve Cryptography."
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Conceptual Design of Secure Databases."
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","FLL: A First-Order Language for Deductive Retrieval of Feature Terms"
