"title","keyword"
"Spectre Attacks: Exploiting Speculative Execution.","vitae"
"Spectre Attacks: Exploiting Speculative Execution.","tincidunt"
"Meltdown","diam"
"Computer Science Curricula 2013","velit"
"Computer Science Curricula 2013","velit"
"Computer Science Curricula 2013","non"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","sapien"
"DARWIN: On the Incremental Migration of Legacy Information Systems","tincidunt"
"DARWIN: On the Incremental Migration of Legacy Information Systems","non"
"DARWIN: On the Incremental Migration of Legacy Information Systems","diam"
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","non"
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","posuere"
"Object Model Capabilities For Distributed Object Management.","posuere"
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","Sed"
"Towards a Transaction Management System for DOM.","velit"
"Towards a Transaction Management System for DOM.","diam"
"Towards a Transaction Management System for DOM.","tincidunt"
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","vitae"
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Sed"
"MetaObject Protocol Concepts for a RISC Object Model.","tincidunt"
"Object Data Language Facilities for Multimedia Data Types.","vestibulum"
"Object Data Language Facilities for Multimedia Data Types.","tincidunt"
"Object Data Model Facilities for Multimedia Data Types.","Sed"
"Distributed Object Management Technology.","tincidunt,"
"Distributed Object Management Technology.","non"
"Experiments with Dispatching in a Distributed Object System.","sapien"
"Experiments with Dispatching in a Distributed Object System.","posuere"
"Muffin: A Distributed Database Machine","Sed"
"Muffin: A Distributed Database Machine","vestibulum"
"Object Oriented DBMS as a Generalization of Relational DBMS","sapien"
"Object Oriented DBMS as a Generalization of Relational DBMS","diam"
"Object Oriented DBMS as a Generalization of Relational DBMS","tincidunt"
"Inheritance for ADTs (revised)","velit"
"Inheritance for ADTs (revised)","tincidunt"
"Modification of User Defined Types","non"
"Modification of User Defined Types","Sed"
"Modification of User Defined Types","posuere"
"Object ADTs (with improvements for Value ADTs)","posuere"
"Unification of Value and Object ADTs","diam"
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Sed"
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","diam"
"Algebraical Optimization of FTA-Expressions","tincidunt"
"Algebraical Optimization of FTA-Expressions","Sed"
"Algebraical Optimization of FTA-Expressions","Sed"
"Wissensrepräsentation und Maschinelles Lernen","posuere"
"Wissensrepräsentation und Maschinelles Lernen","vitae"
"An Algebraic Characterization of STUF","tincidunt,"
"An Algebraic Characterization of STUF","tincidunt,"
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","tincidunt"
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","velit"
"Zur Systemarchitektur von LILOG","non"
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","sapien"
"Definite Resolution over Constraint Languages","non"
"Dokumentation der Syntax der LILOG-Grammatik","diam"
"Dokumentation der Syntax der LILOG-Grammatik","Sed"
"Cognitive Linguistics: The Processing of Spatial Concepts","Sed"
"LILOG-DB: Database Support for Knowledge-Based Systems","vitae"
"LILOG-DB: Database Support for Knowledge-Based Systems","non"
"LILOG-DB: Database Support for Knowledge-Based Systems","tincidunt"
"Differential Closure Computation for General Horn-Clause Queries","velit"
"Differential Closure Computation for General Horn-Clause Queries","vestibulum"
"SQL/Data System for VSE: A Relational Data System for Application Development.","vitae"
"SQL/Data System for VSE: A Relational Data System for Application Development.","sapien"
"SQL/Data System for VSE: A Relational Data System for Application Development.","tincidunt,"
"A Logical Operational Semantics of Full Prolog","diam"
"A Logical Operational Semantics of Full Prolog","Sed"
"A Logical Operational Semantics of Full Prolog","velit"
"Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte","vestibulum"
"How could a good system of practical NLP look like?","vitae"
"Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers","sapien"
"Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers","velit"
"Attribute Inheritance Implemented on Top of a Relational Database System","non"
"Attribute Inheritance Implemented on Top of a Relational Database System","non"
"LMT - Machine Translation Demonstration","tincidunt"
"LMT - Machine Translation Demonstration","tincidunt,"
"Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment","tincidunt,"
"Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment","sapien"
"Sort Processing in a Deductive Database System","diam"
"EFTA: A Database Retrieval Algebra for Feature Terms","tincidunt,"
