"title","type","publisher","journal","month","year","language","booktitle","volume","pages","ee"
"Spectre Attacks: Exploiting Speculative Execution.","article","","meltdownattack.com","",2021,"","","","","https://spectreattack.com/spectre.pdf"
"Meltdown","article","","meltdownattack.com","",2020,"","","","","https://meltdownattack.com/meltdown.pdf"
"Computer Science Curricula 2013","book","ACM Press and IEEE Computer Society Press","","","2013","","","","","https://www.wikidata.org/entity/Q107021707"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","article","","GTE Laboratories Incorporated","August",1981,"","","TR-0263-08-94-165","",""
"DARWIN: On the Incremental Migration of Legacy Information Systems","article","","GTE Laboratories Incorporated","March",2019,"","","TR-0222-10-92-165","",""
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","article","","GTE Laboratories Incorporated","December",2021,"","","TR-0174-12-91-165","",""
"Object Model Capabilities For Distributed Object Management.","article","","GTE Laboratories Incorporated","June",2022,"","","TM-0149-06-89-165","",""
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","article","","GTE Laboratories Incorporated","November",1992,"","","TR-0310-11-95-165","",""
"Towards a Transaction Management System for DOM.","article","","GTE Laboratories Incorporated","June",2018,"","","TR-0146-06-91-165","",""
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","article","","GTE Laboratories Incorporated","August",2019,"","","TR-0231-08-93-165","",""
"MetaObject Protocol Concepts for a RISC Object Model.","article","","GTE Laboratories Incorporated","December",1983,"","","TR-0244-12-93-165","",""
"Object Data Language Facilities for Multimedia Data Types.","article","","GTE Laboratories Incorporated","December",1995,"","","TR-0169-12-91-165","",""
"Object Data Model Facilities for Multimedia Data Types.","article","","GTE Laboratories Incorporated","December",2019,"","","TM-0332-11-90-165","",""
"Distributed Object Management Technology.","article","","GTE Laboratories Incorporated","June",2007,"","","TM-0014-06-88-165","",""
"Experiments with Dispatching in a Distributed Object System.","article","","GTE Laboratories Incorporated","July",2009,"","","TR-0236-09-93-165","",""
"Muffin: A Distributed Database Machine","article","","University of California at Berkeley","May",2010,"","","UCB/ERL M79/28","",""
"Object Oriented DBMS as a Generalization of Relational DBMS","article","","ANSI X3H2","",2021,"","","X3H2-90-412","",""
"Inheritance for ADTs (revised)","article","","ANSI X2H2","July",2011,"","","DBL:KAW-006 X3H2-91-133rev1","",""
"Modification of User Defined Types","article","","ANSI X3H2","",2006,"","","X3H2-90-292","",""
"Object ADTs (with improvements for Value ADTs)","article","","ANSI X3H2","April",2011,"italian","","DBL:ARL-029 X3H2-91-083rev1","",""
"Unification of Value and Object ADTs","article","","ANSI X3H2","",2020,"","","X3H2-92-062","",""
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2019,"spanish","","191","",""
"Algebraical Optimization of FTA-Expressions","article","IBM Deutschland GmbH","LILOG-Report","",2020,"","","59","",""
"Wissensrepräsentation und Maschinelles Lernen","article","IBM Deutschland GmbH","LILOG-Report","",2010,"","","15","",""
"An Algebraic Characterization of STUF","article","IBM Deutschland GmbH","LILOG-Report","",2021,"","","40","",""
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"","","225","",""
"Zur Systemarchitektur von LILOG","article","IBM Deutschland GmbH","LILOG-Memo","",1994,"","","2","",""
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","article","IBM Deutschland GmbH","LILOG-Report","",1991,"","","61","",""
"Definite Resolution over Constraint Languages","article","IBM Deutschland GmbH","LILOG-Report","",2020,"","","53","",""
"Dokumentation der Syntax der LILOG-Grammatik","article","IBM Deutschland GmbH","LILOG-Memo","",1999,"english","","9","",""
