"title","auth_name"
"Spectre Attacks: Exploiting Speculative Execution.","Paul Kocher"
"Spectre Attacks: Exploiting Speculative Execution.","Daniel Genkin"
"Spectre Attacks: Exploiting Speculative Execution.","Daniel Gruss"
"Spectre Attacks: Exploiting Speculative Execution.","Werner Haas 0004"
"Spectre Attacks: Exploiting Speculative Execution.","Mike Hamburg"
"Spectre Attacks: Exploiting Speculative Execution.","Moritz Lipp"
"Spectre Attacks: Exploiting Speculative Execution.","Stefan Mangard"
"Spectre Attacks: Exploiting Speculative Execution.","Thomas Prescher 0002"
"Spectre Attacks: Exploiting Speculative Execution.","Michael Schwarz 0001"
"Spectre Attacks: Exploiting Speculative Execution.","Yuval Yarom"
"Meltdown","Moritz Lipp"
"Meltdown","Michael Schwarz 0001"
"Meltdown","Daniel Gruss"
"Meltdown","Thomas Prescher 0002"
"Meltdown","Werner Haas 0004"
"Meltdown","Stefan Mangard"
"Meltdown","Paul Kocher"
"Meltdown","Daniel Genkin"
"Meltdown","Yuval Yarom"
"Meltdown","Mike Hamburg"
"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","Frank Manola"
"DARWIN: On the Incremental Migration of Legacy Information Systems","Michael L. Brodie"
"DARWIN: On the Incremental Migration of Legacy Information Systems","Michael Stonebraker"
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Mark F. Hornick"
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Joe D. Morrison"
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","Farshad Nayeri"
"Object Model Capabilities For Distributed Object Management.","Frank Manola"
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","Frank Manola"
"Towards a Transaction Management System for DOM.","Alejandro P. Buchmann"
"Towards a Transaction Management System for DOM.","M. Tamer Özsu"
"Towards a Transaction Management System for DOM.","Dimitrios Georgakopoulos"
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Frank Manola"
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Sandra Heiler"
"MetaObject Protocol Concepts for a RISC Object Model.","Frank Manola"
"Object Data Language Facilities for Multimedia Data Types.","Frank Manola"
"Object Data Model Facilities for Multimedia Data Types.","Frank Manola"
"Object Data Model Facilities for Multimedia Data Types.","Mark F. Hornick"
"Object Data Model Facilities for Multimedia Data Types.","Alejandro P. Buchmann"
"Distributed Object Management Technology.","Frank Manola"
"Experiments with Dispatching in a Distributed Object System.","Farshad Nayeri"
"Experiments with Dispatching in a Distributed Object System.","Benjamin Hurwitz"
"Muffin: A Distributed Database Machine","Michael Stonebraker"
"Object Oriented DBMS as a Generalization of Relational DBMS","David Beech"
"Object Oriented DBMS as a Generalization of Relational DBMS","Cetin Ozbutun"
"Inheritance for ADTs (revised)","Krishna G. Kulkarni"
"Inheritance for ADTs (revised)","Jim Melton"
"Inheritance for ADTs (revised)","Jonathan Bauer"
"Inheritance for ADTs (revised)","Mike Kelley"
"Modification of User Defined Types","Phil Shaw"
"Object ADTs (with improvements for Value ADTs)","Jim Melton"
"Object ADTs (with improvements for Value ADTs)","Jonathan Bauer"
"Object ADTs (with improvements for Value ADTs)","Krishna G. Kulkarni"
"Unification of Value and Object ADTs","David Beech"
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Rolf Sander"
"Algebraical Optimization of FTA-Expressions","Thomas Ludwig 0001"
"Wissensrepräsentation und Maschinelles Lernen","Werner Emde"
"Wissensrepräsentation und Maschinelles Lernen","Claus-Rainer Rollinger"
"An Algebraic Characterization of STUF","Christoph Beierle"
"An Algebraic Characterization of STUF","Udo Pletat"
"An Algebraic Characterization of STUF","Hans Uszkoreit"
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","Ulrike Rackow"
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","Ido Dagan"
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","Ulrike Schwall"
"Zur Systemarchitektur von LILOG","Brigitte Bartsch-Spörl"
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Erich Gehlen"
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Burkhard Kehrbusch"
"Definite Resolution over Constraint Languages","Markus Höhfeld"
"Definite Resolution over Constraint Languages","Gert Smolka"
"Dokumentation der Syntax der LILOG-Grammatik","Birgit Wesche"
"Cognitive Linguistics: The Processing of Spatial Concepts","Christopher Habel"
"LILOG-DB: Database Support for Knowledge-Based Systems","Thomas Ludwig 0001"
"LILOG-DB: Database Support for Knowledge-Based Systems","Bernd Walter"
"LILOG-DB: Database Support for Knowledge-Based Systems","Michael Ley"
"LILOG-DB: Database Support for Knowledge-Based Systems","Albert Maier"
"LILOG-DB: Database Support for Knowledge-Based Systems","Erich Gehlen"
"Differential Closure Computation for General Horn-Clause Queries","Thomas Ludwig 0001"
"Differential Closure Computation for General Horn-Clause Queries","Stefan Benzschawel"
"Differential Closure Computation for General Horn-Clause Queries","Erich Gehlen"
"A Logical Operational Semantics of Full Prolog","Egon Börger"
"Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte","Michael Ley"
"How could a good system of practical NLP look like?","Roland Seiffert"
"Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers","Gisela Schöpke"
"Attribute Inheritance Implemented on Top of a Relational Database System","Stefan Böttcher"
"LMT - Machine Translation Demonstration","Ulrike Schwall"
"Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment","Rudi Studer"
"Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment","Bernd Walter"
"Sort Processing in a Deductive Database System","Albert Maier"
"Sort Processing in a Deductive Database System","Michael Ley"
"Sort Processing in a Deductive Database System","Erich Gehlen"
"EFTA: A Database Retrieval Algebra for Feature Terms","Thomas Ludwig 0001"
"EFTA: A Database Retrieval Algebra for Feature Terms","Bernd Walter"
"Knowledge in Operation","Toni Bollinger"
"Knowledge in Operation","Udo Pletat"
"An Overview on Planning Applications in PROTOS-L","Christoph Beierle"
"Über Ansätze zur Darstellung von Konzepten und Prototypen","Carola Eschenbach"
"Attributive Concept Descriptions with Unions and Complements","Manfred Schmidt-Schauß"
"Attributive Concept Descriptions with Unions and Complements","Gert Smolka"
"Ein praktischer Algorithmus für die E-Unifikation","Hans-Joachim Goltz"
"Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache","Claus-Rainer Rollinger"
"The Institute for Knowledge Based Systems in the IBM Germany Scientific Center","Otthein Herzog"
"Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser","Bernhard Beckert"
"PROTOS-L: Towards a Knowledge Base Programming Language","Christoph Beierle"
"PROTOS-L: Towards a Knowledge Base Programming Language","Stefan Böttcher"
"Syntaktische Informationseinheiten zu deutschen Adjektiven","Stefan J. Schierholz"
"On the Interpretation of Equality, Sorts, and Logic Programming","Christoph Beierle"
"On the Interpretation of Equality, Sorts, and Logic Programming","Udo Pletat"
"DInG - ein Domänen-orientierter Inkrementeller und Integrierter Generator für kohärente Texte","Birgit Wendholt"
"Prozedurale Semantik. Repräsentation der Sprechergegenwart.","Gudrun Klose"
"Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung","Michael Herweg"
"Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung","Mohammed Nadjib Khenkhar"
"Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung","Simone Pribbenow"
"Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung","Klaus Rehkämper"
"""Dictionary Dialog"" - Entwurf des Funktionsumfangs für eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten Übersetzungssystems und prototypische Erstellung der Bildschirmfolge für die Funktion ""Semantische Relation""","Anja Theuner"
"Zur Behandlung komplexer Objekte in LILOG","Brigitte Bartsch-Spörl"
"Computational aspects of three-valued logic","Peter H. Schmitt"
"Semantics of Logic Programs with Equational Abstract Data Type Specifications","Christoph Beierle"
"Semantics of Logic Programs with Equational Abstract Data Type Specifications","Udo Pletat"
"Processing Spatial Knowledge in LILOG","Claudia Maienborn"
"A Reusable Lexical Database Tool for Machine Translation","Brigitte Bläser"
"A Reusable Lexical Database Tool for Machine Translation","Ulrike Schwall"
"A Reusable Lexical Database Tool for Machine Translation","Angelika Storrer"
"Der Lambek-Kalkül. Eine Logik für lexikalische Grammatiken","Esther König"
"Parenthetische Konstruktionen des Deutschen.","Claudia Mrotzek"
"Symmetric Coordination: An Alternative Theory of Phrase Structure","Birgit Wesche"
"An Approach to Manage Large Inheritance Networks","Stefan Börner"
"An Approach to Manage Large Inheritance Networks","Rudi Studer"
"On the Problem of Masking Special Errors by Serial Signature Analysis","Lutz Voelkel"
"Eine dreiwertige Logik zur Verarbeitung partieller Information","Peter H. Schmitt"
"An Inference Engine for Function Free Logic Programs","Stefan Böttcher"
"Aspekte der Generierung von Wegbeschreibungen","Kai-Uwe Carstensen"
"Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks","Ulrike Weiland"
"Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks","Martin Hübner"
"A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras","Egon Börger"
"A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras","Peter H. Schmitt"
"Subsumtion für eine erweiterte attributive Sortenbeschreibungssprache","Michael Czymmeck"
"Mathematische Grundlagen der formalen Linguistik - Ein Kompendium","Michael Tarnowski"
"Die Struktur des Lexikons für LILOG","Helmar Gust"
"Die Struktur des Lexikons für LILOG","Petra Ludewig"
"Die Struktur des Lexikons für LILOG","Mechthild Rickheit"
"Die Konzeption des EXCEPT-Systems: Ein Überblick","Martin Hübner"
"Die Konzeption des EXCEPT-Systems: Ein Überblick","Kai von Luck"
"Die Konzeption des EXCEPT-Systems: Ein Überblick","Ulrike Weiland"
"Richtungsangabe oder Wegkonnektor? Rämliches ""Zurück"" und seine Semantik","Elisabeth Neugebauer"
"Vorüberlegungen zur depiktionalen Repräsentation räumlichen Wissens","Mohammed Nadjib Khenkhar"
"Fully Persistent B","Sitaram Lanka"
"Fully Persistent B","Eric Mays"
